title|year|running_time|genres|rating|synopsis|directors|actors|trailer_link|trailer_running_time|release_dates|enable_import
Papillon|1973|151|Biography, Crime, Drama|8|A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.|Franklin J. Schaffner|Steve McQueen, Dustin Hoffman, Victor Jory, Don Gordon|https://www.youtube.com/watch?v=lW_IWHw3z-U|185||1
Escape from Alcatraz|1979|112|Action, Biography, Crime|7,6|San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.|Don Siegel|Clint Eastwood, Patrick McGoohan, Roberts Blossom, Jack Thibeau|https://www.youtube.com/watch?v=BUGneGTb_Pw&t=1s|127||1
Robin Hood |1973|83|Animation, Adventure, Comedy|7,6|With King Richard off to the Crusades, Prince John and his slithering minion, Sir Hiss, set about taxing Nottingham's citizens with support from the corrupt sheriff - and staunch opposition by the wily Robin Hood and his band of merry men.|Wolfgang Reitherman, David Hand |Brian Bedford, Phil Harris, Roger Miller, Peter Ustinov|https://www.youtube.com/watch?v=G9gaTbKCC7M|4||1
National Lampoon's Animal House|1978|109|Comedy|7,5||John Landis|John Belushi, Karen Allen, Tom Hulce, Stephen Furst|https://www.youtube.com/watch?v=KWjtI6n5xWM&t=2s|163||1
Dawn of the Dead|1978|127|Action, Adventure, Horror|7,9|During an ever-growing epidemic of zombies that have risen from the dead, two Philadelphia SWAT team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.|John Landis ||https://www.youtube.com/watch?v=Y_EviQj5tvA|181||1
The French Connection |1971|104|Action, Crime, Drama|7,7|Tough narcotics detective 'Popeye' Doyle is in hot pursuit of a suave French drug dealer who may be the key to a huge heroin-smuggling operation.|George A. Romero | David Emge, Ken Foree, Scott H. Reiniger, Gaylen Ross|https://www.youtube.com/watch?v=ncWxtpXn3gA|166||1
Serpico |1973|130|Biography, Crime, Drama|7,7|The real-life struggle of an honest New York City cop against a corrupt system.|William Friedkin|Gene Hackman, Roy Scheider, Fernando Rey, Tony Lo Bianco|https://www.youtube.com/watch?v=hSZz5RI7KRQ|242||1
The Omen |1976|111|Horror|7,7|Immediately after their miscarriage, the US diplomat Robert Thorn adopts the newborn Damien without the knowledge of his wife. Yet what he doesn't know is that their new son is the son of the devil.|Sidney Lumet |Al Pacino, John Randolph, Jack Kehoe, Biff McGuire|https://www.youtube.com/watch?v=sS-sXcx30O4|146||1
Death on the Nile|1978|140|Crime, Drama, Mystery|7,3|As Hercule Poirot enjoys a luxurious cruise down the Nile, a newlywed heiress is found murdered on board. Can Poirot identify the killer before the ship reaches the end of its journey?|John Guillermin|Peter Ustinov, Mia Farrow, Simon MacCorkindale, Jane Birkin|https://www.youtube.com/watch?v=IGbdvoYa7iE|171||1
A Bridge Too Far|1977|175|Drama, History, War|7,4|Operation Market Garden, September 1944. The Allies attempt to capture several strategically important bridges in the Netherlands in the hope of breaking the German lines.|Richard Attenborough|Sean Connery, Ryan O'Neal, Michael Caine, Laurence Olivier|https://www.youtube.com/watch?v=AWL184ZcSxA|195||1
